Number,risks_AI_avg,support_company,gender_bin,objective_threat,trait_risk,educ_short,percent_job_gain,age_group,education,country,manipulation_check2,weight
320,0,1,Women,0.5,certain,0,100%,45 to 64,Some college,Canada,Fail,0.381
321,5,NA,Women,NA,certain,0,50%,45 to 64,Some college,US,Fail,0.6174
322,0,4,Men,0.266666667,certain,0,50%,65 or older,HS or less,Canada,Fail,0.9196
323,3,3,Men,NA,risky,0,70%,18 to 29,Some college,US,Fail,1.1324
324,9,4,Women,NA,certain,0,100%,65 or older,HS or less,Canada,Pass,0.8276
325,5,NA,Women,NA,certain,0,50%,45 to 64,HS or less,Canada,Pass,0.6346
326,5,4,Men,NA,certain,0,30%,65 or older,Some college,US,Pass,0.6218
327,6.5,1,Men,0.966666667,risky,0,70%,30 to 44,HS or less,Canada,Pass,2.1798
328,5,3,Men,NA,certain,0,70%,65 or older,HS or less,Canada,Fail,1.3691
329,10,1,Women,0.5,certain,0,30%,65 or older,HS or less,Canada,Pass,0.7381
330,6,2,Women,NA,certain,0,30%,45 to 64,HS or less,Canada,Pass,0.6346
331,5,2,Women,NA,certain,0,30%,30 to 44,HS or less,US,Fail,1.3203
332,3,3,Men,0.633333333,certain,0,100%,65 or older,Some college,Canada,Pass,0.6849
333,6,3,Men,0.633333333,certain,0,70%,45 to 64,HS or less,Canada,Pass,0.6914
334,5,1,Women,NA,certain,0,100%,65 or older,HS or less,Canada,Fail,1.1511
335,3.5,2,Men,0.8,certain,0,100%,65 or older,HS or less,Canada,Pass,1.1408
336,8,3,Men,0.733333333,certain,0,70%,45 to 64,HS or less,Canada,Fail,0.9616
337,3,4,Women,NA,risky,0,100%,65 or older,Some college,Canada,Pass,0.4969
338,4,3,Men,NA,risky,0,50%,65 or older,Some college,Canada,Pass,0.768
339,5,2,Women,NA,certain,1,30%,30 to 44,University,US,Pass,0.5138
340,1.5,NA,Women,0.6,risky,0,30%,18 to 29,Some college,Canada,Fail,0.5558
341,7,4,Women,0.6,certain,0,50%,18 to 29,Some college,Canada,Pass,0.7405
342,5,NA,Women,NA,certain,1,70%,45 to 64,University,US,Fail,0.6804
343,7,4,Men,0.4,certain,0,30%,45 to 64,Some college,US,Pass,0.6938
344,5,1,Women,0.633333333,certain,0,70%,45 to 64,HS or less,US,Fail,0.5005
345,2.5,4,Men,NA,risky,0,70%,18 to 29,HS or less,US,Fail,1.23
346,6,1,Men,NA,certain,0,30%,18 to 29,HS or less,US,Pass,1.2383
347,3,NA,Men,NA,certain,0,70%,65 or older,Some college,US,Fail,0.7304
348,0,1,Women,0.566666667,certain,0,70%,45 to 64,HS or less,Canada,Pass,0.6346
349,2.5,4,Men,0.6,certain,0,50%,30 to 44,HS or less,Canada,Pass,0.8344
350,5,4,Men,0.3,certain,0,70%,45 to 64,Some college,Canada,Fail,0.6474
351,6,3,Women,NA,certain,0,50%,65 or older,Some college,Canada,Pass,0.4969
352,5,4,Women,0.266666667,certain,0,100%,65 or older,Some college,US,Pass,0.7427
353,0,5,Women,0.133333333,certain,0,70%,30 to 44,HS or less,US,Pass,0.9907
354,8.5,2,Women,0.4,certain,0,50%,65 or older,HS or less,Canada,Pass,1.0266
355,5,NA,Women,NA,certain,1,70%,65 or older,Postgrad,US,Pass,0.7852
356,3.5,4,Men,0.166666667,certain,1,50%,30 to 44,University,Canada,Pass,0.7645
357,2.5,4,Women,0.766666667,certain,1,100%,45 to 64,University,Canada,Fail,0.7867
358,5.5,3,Men,NA,certain,0,100%,65 or older,Some college,Canada,Pass,0.5734
359,2,NA,Men,0.233333333,risky,0,100%,65 or older,Some college,Canada,Fail,0.5521
360,10,1,Men,0.366666667,certain,0,100%,45 to 64,Some college,US,Pass,0.8634
361,4.5,NA,Men,0.5,risky,1,70%,30 to 44,University,Canada,Fail,2.1623
362,8,4,Men,NA,certain,0,100%,45 to 64,HS or less,US,Pass,0.9311
363,3,NA,Women,NA,certain,0,100%,65 or older,HS or less,Canada,Fail,1.0266
364,5,3,Men,NA,certain,0,100%,45 to 64,Some college,Canada,Fail,0.8286
365,5,3,Women,NA,certain,0,50%,65 or older,HS or less,US,Fail,0.7188
366,7,4,Women,NA,risky,0,30%,65 or older,Some college,US,Fail,0.6674
367,5,4,Women,NA,certain,1,50%,65 or older,University,US,Pass,0.7034
368,5,3,Men,NA,certain,0,50%,45 to 64,Some college,Canada,Fail,0.7143
369,4,4,Women,NA,risky,0,100%,45 to 64,HS or less,Canada,Pass,0.6346
370,3,4,Men,0.566666667,certain,0,50%,45 to 64,Some college,US,Pass,0.611
371,2.5,2,Men,0.466666667,certain,0,30%,45 to 64,HS or less,Canada,Pass,0.7829
372,5,2,Women,0.666666667,certain,0,30%,65 or older,Some college,Canada,Pass,0.6164
373,2,4,Women,NA,certain,0,30%,30 to 44,HS or less,US,Pass,1.3747
374,0,5,Women,0.566666667,certain,0,70%,65 or older,Some college,US,Fail,1.7153
375,5,1,Women,NA,certain,0,50%,65 or older,HS or less,Canada,Fail,1.1511
376,9,4,Men,NA,certain,0,30%,45 to 64,Some college,Canada,Fail,0.6474
377,5,3,Women,0.633333333,certain,0,100%,45 to 64,HS or less,Canada,Fail,0.8827
378,9,3,Women,NA,certain,0,50%,30 to 44,HS or less,US,Pass,0.8631
379,3,4,Women,NA,certain,0,30%,45 to 64,Some college,US,Pass,0.9292
380,5,3,Women,NA,certain,0,70%,45 to 64,HS or less,Canada,Fail,0.7444
381,5,3,Women,NA,risky,0,100%,45 to 64,HS or less,Canada,Pass,2.2853
382,4,2,Men,0.7,certain,0,30%,45 to 64,HS or less,Canada,Pass,0.9616
383,5,2,Women,NA,certain,1,50%,30 to 44,University,US,Fail,0.7529
384,1,2,Women,NA,certain,0,100%,30 to 44,HS or less,US,Fail,2.6695
385,5,4,Women,NA,certain,0,70%,18 to 29,Some college,US,Fail,0.7579
386,7,2,Men,NA,certain,0,70%,45 to 64,HS or less,Canada,Pass,0.7752
387,3,4,Men,0.566666667,certain,0,50%,45 to 64,Some college,Canada,Pass,0.5774
388,5,4,Women,0.466666667,certain,0,70%,30 to 44,Some college,Canada,Pass,0.424
389,8.5,2,Women,0.5,certain,1,70%,45 to 64,University,Canada,Pass,0.7867
390,7.5,2,Women,0.366666667,certain,1,30%,45 to 64,Postgrad,Canada,Pass,1.0818
391,5,3,Women,0.666666667,certain,0,70%,45 to 64,HS or less,Canada,Fail,0.7872
392,7,3,Men,0.433333333,certain,0,30%,45 to 64,Some college,Canada,Pass,0.6474
393,5.5,4,Men,0.733333333,certain,0,100%,45 to 64,HS or less,Canada,Fail,0.7752
394,5,3,Men,0.633333333,certain,0,70%,45 to 64,Some college,US,Pass,1.0565
395,4,2,Women,0.766666667,certain,0,70%,18 to 29,HS or less,Canada,Pass,1.8725
396,5,2,Men,0.4,risky,0,100%,45 to 64,HS or less,Canada,Pass,0.9616
397,3,1,Men,0.5,certain,1,30%,45 to 64,University,Canada,Fail,0.7657
398,3.5,3,Men,NA,certain,0,70%,30 to 44,HS or less,US,Pass,1.2258
399,3,4,Men,0.5,certain,0,70%,18 to 29,HS or less,Canada,Pass,4.1399
400,3,5,Women,NA,certain,0,100%,18 to 29,HS or less,Canada,Pass,1.2554
401,5,4,Men,NA,certain,0,30%,45 to 64,HS or less,Canada,Pass,0.6914
402,0,1,Men,NA,risky,0,50%,30 to 44,HS or less,US,Pass,0.8119
403,4.5,4,Men,0.433333333,certain,1,30%,45 to 64,University,US,Pass,2.744
404,5,1,Men,0.9,certain,0,30%,30 to 44,Some college,Canada,Fail,0.8536
405,5,3,Women,NA,certain,0,30%,45 to 64,HS or less,US,Fail,0.7934
406,5,5,Men,0.366666667,certain,1,100%,45 to 64,University,US,Pass,0.7097
407,10,1,Women,0.5,certain,0,70%,45 to 64,HS or less,US,Pass,0.7731
408,0,5,Women,0.066666667,certain,1,70%,30 to 44,University,US,Fail,0.4131
409,6,3,Women,NA,certain,0,50%,45 to 64,Some college,US,Pass,0.7862
410,3,4,Women,NA,certain,0,30%,65 or older,HS or less,Canada,Pass,0.7454
411,10,2,Men,0.2,risky,1,30%,30 to 44,University,US,Pass,1.8526
412,1,3,Men,0.633333333,risky,0,50%,30 to 44,Some college,US,Pass,1.1223
413,3.5,5,Women,NA,certain,0,100%,45 to 64,Some college,US,Pass,0.8026
414,5,4,Men,0.5,certain,0,70%,65 or older,HS or less,Canada,Pass,1.2791
415,10,1,Women,0.2,certain,0,100%,18 to 29,Some college,US,Pass,0.8196
416,0,1,Women,0.633333333,certain,0,50%,45 to 64,HS or less,US,Fail,1.6667
417,0,5,Men,0.266666667,certain,0,100%,18 to 29,HS or less,US,Fail,0.5183
418,5,2,Women,0.9,certain,0,50%,45 to 64,HS or less,US,Fail,0.4335
419,2.5,3,Women,0.533333333,certain,1,100%,30 to 44,University,Canada,Fail,1.0047
420,9,3,Women,NA,certain,0,70%,45 to 64,HS or less,US,Pass,0.7178
421,3,4,Women,0.533333333,certain,1,30%,45 to 64,University,US,Pass,0.8591
422,0,5,Women,0.166666667,certain,1,50%,45 to 64,University,US,Pass,0.7322
423,9,2,Women,0.333333333,certain,1,100%,45 to 64,University,US,Pass,0.7425
424,10,4,Men,0.766666667,certain,0,100%,30 to 44,Some college,US,Pass,0.5712
425,5,3,Men,0.666666667,certain,0,30%,18 to 29,Some college,US,Fail,0.745
426,7,3,Women,NA,certain,1,50%,30 to 44,University,Canada,Pass,1.2715
427,6,5,Women,NA,certain,1,100%,30 to 44,University,US,Pass,1.0279
428,2.5,1,Men,0.533333333,certain,0,100%,18 to 29,HS or less,Canada,Pass,1.6308
429,1,4,Women,NA,certain,0,100%,18 to 29,HS or less,US,Fail,0.8039
430,7,4,Women,0.666666667,certain,0,30%,30 to 44,Some college,Canada,Pass,0.4526
431,5,4,Women,NA,certain,1,70%,65 or older,University,Canada,Pass,0.915
432,2,5,Men,0.366666667,certain,1,70%,45 to 64,Postgrad,US,Pass,0.6453
433,0.5,4,Men,0.366666667,risky,0,70%,45 to 64,Some college,Canada,Pass,0.4654
434,8,2,Women,0.4,certain,1,50%,45 to 64,Postgrad,US,Fail,0.4697
435,7,4,Women,NA,risky,0,100%,45 to 64,HS or less,US,Pass,0.6293
436,6,4,Women,NA,certain,1,70%,45 to 64,Postgrad,US,Pass,0.8411
437,3,4,Men,0.4,certain,0,50%,45 to 64,Some college,Canada,Fail,0.5774
438,5,NA,Women,NA,certain,1,30%,65 or older,University,US,Pass,0.3836
439,1.5,4,Men,0.366666667,risky,1,100%,30 to 44,University,US,Fail,1.7352
440,7,NA,Women,NA,certain,0,70%,45 to 64,Some college,US,Pass,0.6366
441,5.5,3,Men,0.233333333,certain,0,50%,45 to 64,HS or less,US,Pass,0.7054
442,10,4,Men,0.6,certain,0,70%,30 to 44,HS or less,Canada,Pass,0.8426
443,5.5,3,Women,0.333333333,certain,1,70%,30 to 44,University,Canada,Pass,2.7814
444,6,4,Men,0.766666667,certain,0,100%,30 to 44,Some college,Canada,Fail,0.5021
445,5,4,Men,NA,certain,0,100%,45 to 64,HS or less,Canada,Fail,0.9094
446,5,NA,Women,1,certain,0,50%,18 to 29,Some college,US,Fail,0.7579
447,4,2,Women,0.866666667,certain,0,70%,18 to 29,Some college,Canada,Pass,0.3379
448,10,3,Women,0.5,certain,0,70%,45 to 64,HS or less,Canada,Pass,0.6409
449,4,2,Men,NA,certain,1,50%,45 to 64,Postgrad,Canada,Fail,0.6808
450,3,5,Men,0.366666667,risky,0,100%,45 to 64,Some college,Canada,Pass,0.5774
451,5,2,Women,0.733333333,certain,0,100%,45 to 64,Some college,Canada,Pass,0.381
452,5,2,Women,0.966666667,certain,0,70%,65 or older,HS or less,Canada,Pass,1.1511
453,7,3,Men,0.466666667,certain,0,30%,30 to 44,Some college,Canada,Pass,1.0628
454,7,3,Women,0.833333333,certain,0,70%,45 to 64,HS or less,US,Fail,0.926
455,5,4,Men,0.666666667,certain,0,30%,18 to 29,Some college,Canada,Pass,0.8569
456,10,1,Women,NA,certain,0,50%,65 or older,HS or less,Canada,Fail,0.9708
457,1.5,4,Men,NA,certain,0,50%,45 to 64,HS or less,Canada,Fail,1.0782
458,5,3,Men,NA,risky,0,70%,45 to 64,HS or less,Canada,Fail,1.0782
459,6.5,3,Men,NA,certain,1,30%,65 or older,University,Canada,Pass,0.7872
460,8,4,Men,0.433333333,certain,0,100%,45 to 64,Some college,Canada,Pass,0.5774
461,2,4,Women,NA,certain,0,100%,45 to 64,HS or less,Canada,Pass,0.7323
462,4,3,Men,0.466666667,risky,0,30%,45 to 64,Some college,Canada,Pass,0.6474
463,4,4,Men,0.566666667,certain,0,100%,45 to 64,HS or less,Canada,Pass,0.7829
464,10,1,Women,0.666666667,risky,0,30%,65 or older,HS or less,Canada,Fail,1.1511
465,0.5,1,Women,NA,certain,0,70%,18 to 29,HS or less,US,Fail,0.814
466,5.5,4,Men,0.366666667,risky,0,100%,45 to 64,Some college,Canada,Pass,0.6474
467,4,4,Men,NA,certain,0,30%,18 to 29,HS or less,Canada,Fail,4.1399
468,5,3,Men,NA,certain,1,70%,30 to 44,Postgrad,US,Fail,1.378
469,3.5,2,Women,0.433333333,certain,0,30%,30 to 44,Some college,Canada,Pass,0.6983
470,5,2,Women,NA,certain,1,50%,65 or older,Postgrad,US,Fail,0.8297
471,2,NA,Women,1,certain,0,30%,45 to 64,HS or less,US,Pass,0.3825
472,4.5,2,Women,NA,certain,0,50%,18 to 29,HS or less,Canada,Pass,0.8484
473,0,3,Men,0.666666667,risky,0,30%,30 to 44,HS or less,Canada,Pass,1.4854
474,5.5,3,Women,0.466666667,certain,0,30%,18 to 29,Some college,Canada,Pass,0.3153
475,6,2,Women,NA,certain,0,30%,18 to 29,HS or less,Canada,Pass,0.5251
476,10,1,NA,NA,certain,0,100%,30 to 44,Some college,Canada,Fail,0.8174
477,3,NA,Women,0.7,risky,0,70%,18 to 29,HS or less,US,Fail,0.9747
478,5,3,Women,0.366666667,certain,0,70%,45 to 64,HS or less,Canada,Fail,1.3253
479,3,2,Women,NA,risky,0,70%,45 to 64,Some college,US,Pass,0.8123
480,4.5,3,Men,0.633333333,risky,0,50%,30 to 44,Some college,US,Pass,2.337
481,3,NA,Women,0.6,risky,0,50%,45 to 64,Some college,Canada,Pass,0.8083
482,0,NA,NA,NA,certain,0,100%,30 to 44,Some college,US,Fail,1.4386
483,7,2,Women,0.366666667,certain,0,70%,65 or older,Some college,US,Fail,0.6841
484,4,4,Men,0.5,certain,1,30%,18 to 29,University,Canada,Pass,2.2269
485,10,1,Women,NA,certain,0,30%,65 or older,HS or less,US,Pass,0.8072
486,10,1,Women,NA,certain,0,50%,30 to 44,Some college,US,Fail,0.6306
487,4.5,3,Men,NA,certain,0,30%,65 or older,HS or less,US,Fail,0.7887
488,5,1,Women,NA,risky,0,100%,45 to 64,Some college,US,Fail,1.9184
489,5,2,Women,NA,risky,0,30%,65 or older,HS or less,US,Fail,0.6316
490,5,NA,Men,0.533333333,certain,1,50%,30 to 44,Postgrad,Canada,Pass,0.6186
491,10,3,Men,1,certain,0,50%,45 to 64,Some college,Canada,Pass,0.6474
492,10,3,Women,NA,certain,0,70%,18 to 29,HS or less,Canada,Pass,2.5569
493,9,2,Women,NA,certain,0,50%,45 to 64,HS or less,Canada,Pass,0.6409
494,5,4,Women,0.433333333,certain,1,100%,65 or older,University,Canada,Pass,1.2154
495,5,2,Women,0.433333333,certain,0,30%,18 to 29,Some college,US,Pass,0.8855
496,7.5,2,Women,NA,certain,0,50%,65 or older,HS or less,US,Pass,0.7993
497,4,4,Men,NA,certain,0,100%,45 to 64,HS or less,US,Pass,1.1159
498,3,4,Men,NA,certain,0,30%,45 to 64,Some college,US,Pass,0.8025
499,5,NA,Women,NA,certain,0,30%,45 to 64,HS or less,US,Fail,0.6278
500,6,2,Women,NA,certain,0,50%,65 or older,HS or less,US,Pass,1.2764
501,9,2,Men,0.5,certain,0,70%,18 to 29,Some college,US,Fail,0.5168
502,5,NA,Men,0.7,certain,0,100%,18 to 29,Some college,US,Fail,0.6511
503,0,4,Men,0.3,certain,0,50%,18 to 29,HS or less,US,Fail,1.324
504,4,4,Men,NA,certain,0,30%,65 or older,Some college,US,Pass,1.1336
505,0,5,Women,NA,certain,0,70%,18 to 29,Some college,US,Pass,1.1694
506,1.5,5,Men,0.833333333,certain,0,70%,45 to 64,HS or less,US,Pass,0.716
507,5,4,Women,NA,certain,0,100%,45 to 64,Some college,Canada,Fail,0.53
508,5,2,Men,0.666666667,certain,1,70%,45 to 64,University,US,Pass,0.7325
509,0,5,Men,NA,certain,0,70%,18 to 29,HS or less,US,Fail,0.4351
510,2,3,Men,0.366666667,certain,0,70%,45 to 64,Some college,US,Fail,0.3308
511,4.5,2,Men,0.633333333,risky,0,30%,65 or older,HS or less,US,Pass,0.775
512,10,3,Men,0.766666667,certain,0,30%,45 to 64,HS or less,US,Pass,0.6251
513,8,4,Men,0.333333333,certain,0,30%,45 to 64,Some college,US,Pass,0.379
514,0,NA,Women,NA,certain,0,30%,45 to 64,HS or less,US,Pass,0.9099
515,9,3,Women,NA,certain,0,50%,65 or older,Some college,US,Pass,0.6988
516,7,4,Women,NA,certain,0,70%,18 to 29,HS or less,Canada,Pass,0.9257
517,7,1,Men,NA,certain,0,100%,65 or older,HS or less,US,Fail,0.869
518,6,1,Women,NA,certain,0,30%,18 to 29,Some college,US,Fail,1.7238
519,8,2,Men,0.666666667,certain,0,30%,65 or older,Some college,US,Pass,1.0022
520,10,2,Men,0.9,certain,0,100%,45 to 64,HS or less,US,Fail,0.7055
521,8,NA,Men,0.6,certain,0,100%,65 or older,Some college,US,Pass,0.7926
522,0,3,Men,0.433333333,certain,0,70%,30 to 44,Some college,Canada,Fail,0.8918
523,5,5,Men,NA,certain,0,100%,45 to 64,Some college,US,Pass,3.2404
524,3,4,Men,NA,risky,1,100%,65 or older,University,US,Pass,0.606
525,7,4,Men,0.433333333,certain,1,70%,45 to 64,Postgrad,US,Fail,1.0345
526,10,4,Men,NA,certain,0,70%,65 or older,HS or less,US,Pass,3.0021
527,9,2,Women,NA,certain,1,30%,65 or older,Postgrad,US,Fail,0.6384
528,1.5,4,Men,NA,certain,0,100%,65 or older,Some college,US,Pass,0.4638
529,1.5,3,Women,NA,certain,1,50%,45 to 64,Postgrad,Canada,Pass,0.6814
530,8,1,Men,0.433333333,certain,0,30%,45 to 64,Some college,US,Pass,0.4658
531,0,1,Women,NA,certain,1,50%,65 or older,University,US,Pass,0.1571
532,1,5,Women,0,risky,1,70%,18 to 29,Postgrad,US,Fail,0.9896
533,3,4,Men,NA,risky,1,50%,65 or older,University,US,Fail,0.4069
534,6,3,Women,0.466666667,certain,0,30%,30 to 44,HS or less,Canada,Pass,1.066
535,8,NA,Women,NA,certain,1,100%,18 to 29,University,US,Pass,0.8956
536,2,4,Men,0.366666667,risky,1,50%,18 to 29,University,US,Pass,3.373
537,10,1,Men,NA,certain,1,70%,65 or older,University,US,Pass,0.606
538,5,3,Men,NA,certain,0,30%,65 or older,HS or less,US,Fail,0.8188
539,6.5,NA,Women,NA,certain,1,50%,65 or older,Postgrad,US,Pass,0.2194
540,6.5,3,Women,NA,certain,0,100%,65 or older,HS or less,Canada,Fail,1.1511
541,6.5,3,Women,0.466666667,certain,1,100%,30 to 44,University,Canada,Fail,0.8755
542,3.5,4,Men,NA,certain,0,70%,65 or older,Some college,US,Pass,0.7093
543,1,4,Men,0.266666667,certain,1,100%,30 to 44,University,US,Pass,1.5876
544,9,4,Women,0.433333333,certain,0,100%,30 to 44,Some college,Canada,Pass,0.8683
545,10,3,Men,NA,risky,0,100%,45 to 64,HS or less,US,Pass,0.9571
546,6,2,Men,0.666666667,certain,0,70%,45 to 64,Some college,US,Pass,0.611
547,4.5,3,Women,0.566666667,certain,1,70%,65 or older,University,US,Fail,0.9633
548,8,2,Men,0.7,risky,0,50%,45 to 64,HS or less,US,Pass,0.9571
549,7.5,3,Men,NA,certain,0,100%,65 or older,HS or less,US,Pass,2.9092
550,6,2,Women,0.733333333,certain,0,70%,45 to 64,HS or less,Canada,Fail,1.3463
551,5,2,Women,NA,certain,0,70%,65 or older,HS or less,Canada,Pass,0.7454
552,8,2,Men,NA,certain,0,30%,65 or older,HS or less,Canada,Fail,0.9287
553,5,2,Men,0.233333333,certain,1,30%,45 to 64,University,US,Fail,0.6087
554,4.5,3,Women,1,certain,0,50%,45 to 64,HS or less,Canada,Pass,0.8827
555,5,NA,NA,NA,certain,0,100%,30 to 44,HS or less,Canada,Fail,2.4441
556,7,NA,NA,NA,certain,0,50%,30 to 44,Some college,Canada,Pass,0.4512
557,2,4,Men,NA,certain,1,70%,18 to 29,University,Canada,Fail,2.0777
558,4,4,Women,NA,certain,0,70%,45 to 64,Some college,Canada,Pass,0.381
559,1,3,Women,0.133333333,certain,0,50%,18 to 29,Some college,Canada,Fail,0.648
560,5,2,Women,0.633333333,risky,1,30%,18 to 29,University,Canada,Pass,0.9397
561,3,5,Men,NA,risky,1,100%,65 or older,Postgrad,US,Pass,0.8116
562,7,4,Women,NA,certain,0,100%,45 to 64,HS or less,Canada,Fail,1.0076
563,7.5,2,Women,0.533333333,certain,1,100%,65 or older,Postgrad,US,Pass,0.7954
564,4,3,Men,0.8,certain,0,30%,30 to 44,HS or less,Canada,Pass,1.5787
565,0,4,Men,0.4,certain,0,50%,45 to 64,Some college,Canada,Pass,0.5774
566,5.5,4,Women,NA,certain,0,100%,45 to 64,HS or less,US,Pass,0.5397
567,1.5,2,Women,0.566666667,risky,1,30%,30 to 44,University,US,Fail,0.8621
568,0,4,Men,0.433333333,certain,0,50%,30 to 44,HS or less,Canada,Fail,1.1388
569,0,5,Men,NA,certain,0,50%,18 to 29,HS or less,US,Fail,0.7601
570,5,3,Women,NA,certain,0,70%,45 to 64,HS or less,US,Fail,0.7693
571,5,3,Women,0.833333333,certain,0,70%,45 to 64,HS or less,US,Fail,0.9351
572,2.5,4,Women,NA,certain,1,30%,45 to 64,University,Canada,Fail,1.5085
573,2,2,Women,0.066666667,risky,0,70%,30 to 44,Some college,Canada,Pass,0.8536
574,4.5,NA,Men,0.633333333,certain,1,100%,45 to 64,Postgrad,US,Pass,0.8714
575,5,3,Men,NA,certain,0,50%,18 to 29,Some college,Canada,Pass,0.8485
576,2,3,Women,NA,certain,0,50%,65 or older,Some college,Canada,Pass,0.6911
577,4.5,3,Women,0.5,certain,0,50%,45 to 64,HS or less,Canada,Fail,2.5624
578,6.5,3,Women,0.7,certain,0,50%,45 to 64,Some college,Canada,Pass,0.6783
579,6.5,2,Men,NA,certain,0,100%,45 to 64,HS or less,Canada,Pass,0.8945
580,0.5,4,Women,0.966666667,risky,1,100%,45 to 64,University,Canada,Pass,2.267
581,4.5,2,Women,NA,risky,0,70%,45 to 64,HS or less,Canada,Fail,0.6409
582,4,5,Women,0.333333333,certain,1,100%,45 to 64,University,Canada,Fail,0.7867
583,5,NA,Women,NA,certain,0,50%,18 to 29,HS or less,US,Fail,0.9627
584,5.5,NA,Women,NA,certain,1,70%,45 to 64,University,Canada,Pass,1.2836
585,3.5,3,Men,0.4,certain,1,100%,18 to 29,University,Canada,Fail,1.396
586,5,3,Women,NA,certain,0,100%,65 or older,Some college,Canada,Fail,0.5318
587,3,NA,Women,NA,certain,0,70%,65 or older,HS or less,Canada,Fail,0.955
588,5,4,Women,NA,certain,0,100%,18 to 29,HS or less,Canada,Fail,0.616
589,5,5,Women,NA,certain,0,30%,30 to 44,Some college,Canada,Pass,0.4526
590,4,2,Women,NA,risky,1,70%,30 to 44,University,Canada,Fail,1.5843
591,6.5,2,NA,NA,certain,0,70%,18 to 29,HS or less,Canada,Pass,1.6068
592,10,2,Women,NA,certain,0,100%,30 to 44,Some college,Canada,Fail,0.4199
593,6,3,Women,0.233333333,certain,0,30%,30 to 44,HS or less,Canada,Pass,0.5827
594,3,2,Men,0.5,certain,0,30%,45 to 64,Some college,Canada,Fail,0.6474
595,6,3,Women,NA,certain,0,50%,30 to 44,Some college,US,Pass,0.7614
596,5,NA,Women,NA,certain,0,100%,45 to 64,HS or less,US,Fail,0.7598
597,1,3,Women,0,certain,0,100%,45 to 64,Some college,US,Pass,1.0929
598,5,2,NA,NA,certain,0,30%,30 to 44,HS or less,US,Fail,0.8824
599,3,4,Men,0.933333333,certain,0,30%,30 to 44,Some college,US,Fail,1.5164
600,4.5,3,Women,NA,certain,1,50%,45 to 64,University,US,Pass,0.1619
601,5.5,NA,Women,1,certain,1,50%,65 or older,Postgrad,Canada,Pass,1.1022
602,5.5,NA,Women,NA,certain,0,30%,18 to 29,Some college,US,Fail,0.8557
603,3.5,4,Men,NA,certain,0,100%,18 to 29,HS or less,US,Pass,1.8825
604,3,3,Women,NA,certain,0,50%,65 or older,Some college,Canada,Pass,0.4969
605,3.5,2,Women,0.233333333,risky,1,30%,45 to 64,Postgrad,Canada,Pass,0.6814
606,5,2,Men,0.2,certain,0,50%,45 to 64,Some college,Canada,Pass,0.6474
607,8,NA,Men,0.5,certain,0,100%,45 to 64,Some college,US,Fail,0.4356
608,4,5,Men,0.033333333,certain,0,100%,30 to 44,Some college,US,Pass,0.8692
609,2,5,Men,0.333333333,certain,1,100%,45 to 64,University,Canada,Pass,1.3999
610,9,NA,Women,NA,certain,1,30%,45 to 64,University,Canada,Pass,1.4006
611,5.5,1,Women,NA,certain,0,100%,45 to 64,Some college,US,Fail,0.4951
612,3,4,Women,0.9,certain,0,70%,45 to 64,Some college,Canada,Fail,0.381
613,5,2,Men,NA,certain,0,50%,45 to 64,HS or less,Canada,Fail,1.0782
614,2.5,3,Women,0.3,risky,1,70%,18 to 29,University,Canada,Fail,0.3515
615,1.5,4,Women,0.733333333,risky,0,100%,18 to 29,HS or less,US,Fail,1.3225
616,7,2,Women,0.333333333,certain,1,70%,45 to 64,University,US,Pass,0.8233
617,5,NA,Women,0.833333333,certain,0,50%,30 to 44,HS or less,US,Fail,1.0834
618,0,4,Men,0.366666667,certain,1,70%,45 to 64,Postgrad,US,Pass,0.2335
619,5,4,Men,NA,certain,0,30%,65 or older,HS or less,Canada,Fail,1.0654
